Date,Open,High,Low,Close,Adj Close,Volume
2/1/2018,170.160004,172.300003,169.259995,172.259995,169.712067,25555900
3/1/2018,172.529999,174.550003,171.960007,172.229996,169.68251,29517900
4/1/2018,172.539993,173.470001,172.080002,173.029999,170.470703,22434600
5/1/2018,173.440002,175.369995,173.050003,175,172.41156,23660000
8/1/2018,174.350006,175.610001,173.929993,174.350006,171.771179,20567800
9/1/2018,174.550003,175.059998,173.410004,174.330002,171.751465,21584000
10/1/2018,173.160004,174.300003,173,174.289993,171.712051,23959900
11/1/2018,174.589996,175.490005,174.490005,175.279999,172.687408,18667700
12/1/2018,176.179993,177.360001,175.649994,177.089996,174.470642,25226000
16/1/2018,177.899994,179.389999,176.139999,176.190002,173.583969,29565900
17/1/2018,176.149994,179.25,175.070007,179.100006,176.450928,34386800
18/1/2018,179.369995,180.100006,178.25,179.259995,176.608551,31193400
19/1/2018,178.610001,179.580002,177.410004,178.460007,175.820389,32425100
22/1/2018,177.300003,177.779999,176.600006,177,174.381973,27108600
23/1/2018,177.300003,179.440002,176.820007,177.039993,174.421387,32689100
24/1/2018,177.25,177.300003,173.199997,174.220001,171.643082,51105100
25/1/2018,174.509995,174.949997,170.529999,171.110001,168.579086,41529000
26/1/2018,172,172,170.059998,171.509995,168.973175,39143000
29/1/2018,170.160004,170.160004,167.070007,167.960007,165.475677,50640400
30/1/2018,165.529999,167.369995,164.699997,166.970001,164.500336,46048200
31/1/2018,166.869995,168.440002,166.5,167.429993,164.953522,32478900
1/2/2018,167.169998,168.619995,166.759995,167.779999,165.298355,47230800
2/2/2018,166,166.800003,160.100006,160.5,158.126022,86593800
5/2/2018,159.100006,163.880005,156,156.490005,154.175354,72738500
6/2/2018,154.830002,163.720001,154,163.029999,160.618591,68243800
7/2/2018,163.089996,163.399994,159.070007,159.539993,157.180222,51608600
8/2/2018,160.289993,161,155.029999,155.149994,152.855148,54390500
9/2/2018,157.070007,157.889999,150.240005,156.410004,154.724808,70672600
12/2/2018,158.5,163.889999,157.509995,162.710007,160.956924,60819500
13/2/2018,161.949997,164.75,161.649994,164.339996,162.569351,32549200
14/2/2018,163.039993,167.539993,162.880005,167.369995,165.566696,40644900
15/2/2018,169.789993,173.089996,169,172.990005,171.12616,51147200
16/2/2018,172.360001,174.820007,171.770004,172.429993,170.572189,40176100
20/2/2018,172.050003,174.259995,171.419998,171.850006,169.998444,33930500
21/2/2018,172.830002,174.119995,171.009995,171.070007,169.226852,37471600
22/2/2018,171.800003,173.949997,171.710007,172.5,170.641434,30991900
23/2/2018,173.669998,175.649994,173.539993,175.5,173.6091,33812400
26/2/2018,176.350006,179.389999,176.210007,178.970001,177.041733,38162200
27/2/2018,179.100006,180.479996,178.160004,178.389999,176.467987,38928100
28/2/2018,179.259995,180.619995,178.050003,178.119995,176.200882,37782100
1/3/2018,178.539993,179.779999,172.660004,175,173.114502,48802000
2/3/2018,172.800003,176.300003,172.449997,176.210007,174.311478,38454000
5/3/2018,175.210007,177.740005,174.520004,176.820007,174.914902,28401400
6/3/2018,177.910004,178.25,176.130005,176.669998,174.76651,23788500
7/3/2018,174.940002,175.850006,174.270004,175.029999,173.14418,31703500
8/3/2018,175.479996,177.119995,175.070007,176.940002,175.0336,23774100
9/3/2018,177.960007,180,177.389999,179.979996,178.040833,32185200
12/3/2018,180.289993,182.389999,180.210007,181.720001,179.762085,32207100
13/3/2018,182.589996,183.5,179.240005,179.970001,178.030945,31693500
14/3/2018,180.320007,180.520004,177.809998,178.440002,176.517426,29368400
15/3/2018,178.5,180.240005,178.070007,178.649994,176.725159,22743800
16/3/2018,178.649994,179.119995,177.619995,178.020004,176.101959,39404700
19/3/2018,177.320007,177.470001,173.660004,175.300003,173.411285,33446800
20/3/2018,175.240005,176.800003,174.940002,175.240005,173.351913,19649400
21/3/2018,175.039993,175.089996,171.259995,171.270004,169.424683,36338100
22/3/2018,170,172.679993,168.600006,168.850006,167.030762,41490800
23/3/2018,168.389999,169.919998,164.940002,164.940002,163.162888,41028800
26/3/2018,168.070007,173.100006,166.440002,172.770004,170.908539,37541200
27/3/2018,173.679993,175.149994,166.919998,168.339996,166.52626,40922600
28/3/2018,167.25,170.020004,165.190002,166.479996,164.686295,41668500
29/3/2018,167.809998,171.75,166.899994,167.779999,165.97229,38398500
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
